"","X2","X5","X10"
"1",140837.906515804,122533.521634795,121817.764193988
"2",122453.722923863,122121.826257996,116429.311481188
"3",121822.556981519,119555.332189683,121249.87127754
"4",129783.95925179,117458.26693696,117567.002922287
"5",130480.409988958,120519.142084437,116925.052890441
"6",130423.498798412,125949.171818716,119854.389308751
"7",121892.536647279,124892.050108044,117939.913136683
"8",121084.175596073,117183.116342277,123282.787899186
"9",126687.627088018,125110.107573113,117824.076168773
"10",125454.492380031,114684.448833297,115911.445228792
"11",130355.590242406,119873.182044894,119990.0362649
"12",127612.106379336,120999.986622235,121675.342143693
"13",129784.909141639,121161.102935799,118907.829881187
"14",132977.566025254,123373.371368549,119178.845099226
"15",133800.992518699,127363.127673928,120589.151456926
"16",136217.34324885,117239.349339378,122386.304740031
"17",128183.734299127,123285.580073064,121595.766641917
"18",125875.566063843,116510.850494508,119943.655146314
"19",133567.239311982,118371.395801849,118412.154805933
"20",121388.299106645,119127.647490688,116930.655927028
"21",131393.17443563,118879.437511558,113074.466903018
"22",120548.416673797,120317.769670431,118839.792488368
"23",118183.028043842,120806.73776259,125501.246948469
"24",126053.266757262,121410.733472342,117524.097982867
"25",128331.916039521,118622.828216597,117949.469516925
"26",138201.587435037,122928.230010268,116147.947019591
"27",135569.074033062,119912.504035382,121858.577027456
"28",130835.516180662,121338.479546091,119825.826636877
"29",125973.272329921,119953.079270385,121152.825064294
"30",127092.150088881,122829.379876228,117068.137767266
